Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Full Time
5151410,424127,444006,2,3,A658,2,4,1,E08000035,9,1,3,2,42,2018-01-05 17:45:00
5151432,422253,437288,1,6,U,1,6,1,E08000035,9,3,3,1,47,2018-01-05 17:10:00
5151459,439062,433978,2,1,M1,1,5,1,E08000035,9,1,3,2,38,2018-01-05 17:11:00
5160107,429246,433955,2,6,U,2,4,1,E08000035,9,2,3,1,27,2018-01-06 01:17:00
5160854,422486,433074,3,6,U,2,1,1,E08000035,9,1,3,1,25,2018-01-06 13:47:00
5160883,432350,426044,2,1,M62,2,1,1,E08000035,9,2,3,2,40,2018-01-06 14:00:00
5160883,432350,426044,2,1,M62,2,1,1,E08000035,9,1,3,1,36,2018-01-06 14:00:00
5161450,431190,433664,2,3,A64,1,1,1,E08000035,11,2,3,2,75,2018-01-06 13:45:00
5161450,431190,433664,2,3,A64,1,1,1,E08000035,11,1,3,1,29,2018-01-06 13:45:00
5170291,428838,436574,2,6,U,1,4,1,E08000035,19,1,3,1,39,2018-01-07 05:08:00
5170529,426459,433842,2,6,U,2,1,1,E08000035,9,1,3,2,46,2018-01-07 11:30:00
5180252,433999,435142,1,6,U,4,1,1,E08000035,9,3,3,2,11,2018-01-08 08:00:00
5180490,422879,439315,2,6,U,2,1,1,E08000035,9,1,3,2,41,2018-01-08 10:30:00
5180563,426646,441800,4,3,A660,1,1,1,E08000035,1,1,3,1,19,2018-01-08 11:16:00
5180563,426646,441800,4,3,A660,1,1,1,E08000035,1,1,3,1,28,2018-01-08 11:16:00
5180709,420161,445804,1,6,U,1,1,1,E08000035,19,3,3,2,76,2018-01-08 12:27:00
5181139,429866,433412,1,6,U,1,1,1,E08000035,9,3,3,1,20,2018-01-08 15:50:00
5181330,431467,432552,2,3,A61,1,1,1,E08000035,9,1,3,2,19,2018-01-08 16:20:00
5190310,424495,439140,1,6,U,1,5,1,E08000035,9,3,3,2,81,2018-01-09 08:40:00
5190724,418175,442474,1,3,A65,1,1,1,E08000035,11,2,3,2,60,2018-01-09 11:26:00
5191140,429444,437311,1,6,U,1,4,1,E08000035,9,3,3,1,16,2018-01-09 16:00:00
5191266,424095,428091,2,1,M62,2,7,1,E08000035,9,1,3,1,49,2018-01-09 17:42:00
51A0320,437768,432613,4,1,M1,2,1,7,E08000035,9,1,3,2,25,2018-01-10 08:52:00
51A0334,435577,437891,1,6,U,2,1,1,E08000035,9,3,3,1,6,2018-01-10 08:49:00
51A0699,430907,432292,2,3,A653,1,1,1,E08000035,19,1,3,1,67,2018-01-10 12:34:00
51A0945,437793,432383,3,1,M1,2,1,1,E08000035,21,1,2,1,55,2018-01-10 14:35:00
51A1086,426484,432010,2,6,U,2,1,1,E08000035,1,1,2,1,23,2018-01-10 15:30:00
51A1433,432499,434064,2,6,U,2,4,1,E08000035,4,1,3,1,49,2018-01-10 18:17:00
51A1551,430944,436531,2,6,U,1,1,1,E08000035,9,1,3,2,29,2018-01-10 15:30:00
51A1895,421988,436527,2,3,A6120,2,4,1,E08000035,9,1,3,1,48,2018-01-10 22:08:00
51A1895,421988,436527,2,3,A6120,2,4,1,E08000035,9,1,3,2,53,2018-01-10 22:08:00
51E1008,431297,429122,2,6,U,2,1,1,E08000035,11,2,3,2,1,2018-01-14 13:20:00
51E1227,426521,435648,1,6,U,1,4,1,E08000035,9,3,3,1,11,2018-01-14 16:25:00
51E1717,430241,434626,1,6,U,1,4,1,E08000035,8,2,3,2,56,2018-01-14 20:45:00
51E1843,430404,428108,1,6,U,1,7,1,E08000035,90,2,3,1,22,2018-01-14 22:50:00
51F0205,435288,434836,2,3,A64,2,4,2,E08000035,5,1,3,1,28,2018-01-15 07:00:00
51F0848,434197,434279,1,2,A64(M),1,1,1,E08000035,11,2,3,1,78,2018-01-15 13:30:00
51F1050,429906,436509,1,6,U,2,1,1,E08000035,9,3,2,1,6,2018-01-15 15:15:00
51F1547,427741,436460,2,3,A660,1,4,1,E08000035,9,1,3,2,36,2018-01-15 18:50:00
51G0154,430754,439227,2,3,A6120,2,4,1,E08000035,1,1,3,1,39,2018-01-16 05:35:00
51G0377,426759,427947,1,6,U,1,1,1,E08000035,9,3,3,2,29,2018-01-16 08:45:00
51G1228,420333,445551,1,6,U,3,4,3,E08000035,9,3,3,2,76,2018-01-16 16:47:00
