Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Full Time
54O1067,426052,432994,3,6,U,2,1,2,E08000035,9,2,3,1,29,2018-04-24 18:09:00
54O1067,426052,432994,3,6,U,2,1,2,E08000035,9,1,3,2,27,2018-04-24 18:09:00
54O1409,429917,437012,2,6,U,1,1,1,E08000035,1,1,3,1,68,2018-04-23 15:37:00
54O1524,427600,436796,2,3,A660,2,6,2,E08000035,1,1,3,1,36,2018-04-24 18:25:00
54P0421,435884,436343,2,3,A6120,1,1,1,E08000035,9,1,3,1,32,2018-04-24 18:30:00
54P0556,441346,431951,2,3,A63,1,1,1,E08000035,1,1,3,2,57,2018-04-25 10:40:00
54P1044,425167,435072,1,6,U,1,1,1,E08000035,9,1,3,1,44,2018-04-25 15:16:00
54P1044,425167,435072,1,6,U,1,1,1,E08000035,9,2,3,2,61,2018-04-25 15:16:00
54P1044,425167,435072,1,6,U,1,1,1,E08000035,9,2,3,2,21,2018-04-25 15:16:00
54P1295,425380,440749,2,6,U,1,1,1,E08000035,1,1,3,1,20,2018-04-25 16:50:00
54P1499,439653,446793,2,3,A58,1,1,1,E08000035,9,1,3,2,62,2018-04-25 18:30:00
54P1499,439653,446793,2,3,A58,1,1,1,E08000035,9,1,3,2,64,2018-04-25 18:30:00
54P1499,439653,446793,2,3,A58,1,1,1,E08000035,9,2,3,2,36,2018-04-25 18:30:00
54Q0363,427070,429434,3,3,A643,1,1,1,E08000035,9,1,3,1,28,2018-04-26 07:45:00
54Q0363,427070,429434,3,3,A643,1,1,1,E08000035,9,2,3,1,18,2018-04-26 07:45:00
54Q0517,429177,438566,2,3,A6120,1,1,1,E08000035,9,1,3,2,36,2018-04-26 09:20:00
54Q0589,430094,433781,1,6,U,1,1,1,E08000035,11,2,3,2,75,2018-04-26 13:10:00
54Q0801,434747,433488,2,6,U,1,1,1,E08000035,1,1,2,1,18,2018-04-26 07:15:00
54Q0982,425159,434368,2,6,U,1,1,1,E08000035,1,1,3,1,34,2018-04-26 14:38:00
54Q1152,424794,427415,3,1,M62,1,1,1,E08000035,9,1,3,2,22,2018-04-26 15:58:00
54Q1152,424794,427415,3,1,M62,1,1,1,E08000035,9,2,3,1,34,2018-04-26 15:58:00
54Q1152,424794,427415,3,1,M62,1,1,1,E08000035,9,2,3,1,30,2018-04-26 15:58:00
54Q1152,424794,427415,3,1,M62,1,1,1,E08000035,9,1,3,1,45,2018-04-26 15:58:00
54Q2014,442752,429469,1,6,U,1,6,1,E08000035,9,3,3,1,52,2018-04-26 23:40:00
54Q2038,419832,441189,2,3,A65,1,4,1,E08000035,9,1,3,1,21,2018-04-26 23:45:00
54Q2038,419832,441189,2,3,A65,1,4,1,E08000035,8,1,3,1,50,2018-04-26 23:45:00
54R0290,427531,426319,2,1,M62,2,1,2,E08000035,9,1,3,2,28,2018-04-27 07:46:00
54R0541,428439,433338,1,3,A647,2,1,2,E08000035,9,1,3,1,47,2018-04-27 10:00:00
54R0620,427789,436380,2,3,A660,2,1,2,E08000035,9,1,3,1,33,2018-04-27 11:18:00
54R0675,431507,432727,2,6,U,2,1,2,E08000035,1,1,3,1,45,2018-04-27 10:00:00
54R0796,430647,433457,2,6,U,1,1,1,E08000035,1,1,2,1,19,2018-04-27 12:52:00
54R1031,420714,440967,2,6,U,2,1,2,E08000035,1,1,3,2,33,2018-04-27 14:45:00
54R1093,435348,425898,3,1,M62,2,1,2,E08000035,19,1,3,1,41,2018-04-27 15:25:00
54R1093,435348,425898,3,1,M62,2,1,2,E08000035,9,1,3,1,30,2018-04-27 15:25:00
54R1325,428744,430857,1,6,U,2,1,2,E08000035,9,3,2,2,32,2018-04-27 17:21:00
54R1402,430852,434109,2,3,A61,1,1,1,E08000035,9,1,3,1,36,2018-04-27 18:00:00
54R1402,430852,434109,2,3,A61,1,1,1,E08000035,9,2,3,2,21,2018-04-27 18:00:00
54R1517,430721,439237,2,3,A61,2,1,2,E08000035,3,1,3,1,23,2018-04-27 19:05:00
54R1775,426199,427519,2,6,U,1,1,1,E08000035,2,1,3,1,46,2018-04-24 06:55:00
54S1979,432600,426847,1,3,A61,1,4,1,E08000035,9,3,2,1,17,2018-04-28 22:35:00
54T1252,433811,434054,2,3,A64,1,1,1,E08000035,5,1,2,1,51,2018-04-29 16:10:00
54T1480,429019,430897,1,6,U,1,1,1,E08000035,9,3,2,1,6,2018-04-29 17:56:00
54U1045,431016,428491,2,6,U,1,1,1,E08000035,5,1,2,1,57,2018-04-30 15:15:00
54U1120,433186,433935,1,6,U,1,1,1,E08000035,9,3,3,1,4,2018-04-30 15:40:00
54U1512,436678,436624,2,6,U,1,1,1,E08000035,1,1,3,1,27,2018-04-30 18:20:00
54U1690,430779,438668,1,6,U,1,1,1,E08000035,9,3,3,1,40,2018-04-30 09:42:00
54U1699,436729,433816,2,6,U,1,1,1,E08000035,1,1,2,1,39,2018-04-30 08:30:00
5510256,425709,432933,2,6,U,1,1,1,E08000035,9,1,3,1,24,2018-05-01 07:08:00
5511148,423210,434203,1,4,B6157,1,1,1,E08000035,9,3,2,1,12,2018-05-01 15:50:00
5511218,430794,433456,2,6,U,1,1,1,E08000035,2,1,3,2,52,2018-05-01 16:29:00
5511277,432347,433705,2,3,A64,1,1,1,E08000035,1,1,3,1,23,2018-05-01 16:45:00
5520837,440141,426164,2,6,U,1,1,1,E08000035,9,1,3,1,29,2018-05-02 13:27:00
5520989,436473,434061,4,3,A6120,1,1,1,E08000035,9,1,3,1,43,2018-05-02 14:39:00
5520989,436473,434061,4,3,A6120,1,1,1,E08000035,9,1,3,1,42,2018-05-02 14:39:00
5521141,436589,436642,1,6,U,1,1,1,E08000035,9,3,3,2,10,2018-05-02 15:30:00
5521240,429389,426425,3,1,M62,1,1,1,E08000035,9,1,3,2,53,2018-05-02 16:26:00
5521410,430348,432101,1,6,U,1,1,1,E08000035,9,3,3,1,30,2018-05-02 17:30:00
5530252,420690,444983,2,3,A660,1,1,1,E08000035,1,1,2,1,50,2018-05-03 07:31:00
5530263,421631,433679,2,6,U,1,1,1,E08000035,1,1,3,1,43,2018-05-03 07:35:00
5530558,429933,427363,2,6,U,1,1,1,E08000035,11,2,2,2,77,2018-05-03 11:00:00
5530752,432129,429313,2,1,M621,1,1,1,E08000035,3,1,3,1,18,2018-05-03 12:35:00
5531085,425409,440391,2,6,U,1,1,1,E08000035,1,1,2,1,48,2018-05-03 14:15:00
5531160,426901,439315,1,3,A660,1,1,1,E08000035,9,3,3,2,62,2018-04-30 09:15:00
5531298,427314,425926,2,6,U,1,1,1,E08000035,1,1,2,1,14,2018-05-03 16:00:00
5540548,433651,434305,1,6,U,1,1,1,E08000035,9,3,3,1,12,2018-05-04 10:36:00
5541452,427686,444755,3,6,U,1,1,1,E08000035,9,1,3,1,26,2018-05-04 17:37:00
5541517,426241,426884,2,6,U,1,1,1,E08000035,9,1,3,2,28,2018-05-04 17:25:00
5551010,428097,434763,2,6,U,1,1,1,E08000035,1,1,2,1,39,2018-05-05 13:00:00
5551704,430064,433790,1,6,U,1,1,1,E08000035,9,3,3,2,13,2018-05-05 18:05:00
5570613,421345,440482,3,6,U,1,1,1,E08000035,9,1,3,1,42,2018-05-07 10:24:00
5570679,434003,427705,2,6,U,1,1,1,E08000035,9,1,3,2,64,2018-05-07 11:00:00
5570807,425906,436261,2,6,U,1,1,1,E08000035,9,1,3,2,20,2018-05-07 12:00:00
5570807,425906,436261,2,6,U,1,1,1,E08000035,11,2,3,2,73,2018-05-07 12:00:00
5571146,430098,431479,2,6,U,1,1,1,E08000035,3,1,3,1,44,2018-05-07 15:00:00
5571789,431522,435146,2,3,A58,1,1,1,E08000035,9,1,3,1,35,2018-05-07 19:15:00
5571789,431522,435146,2,3,A58,1,1,1,E08000035,9,2,3,2,65,2018-05-07 19:15:00
5571789,431522,435146,2,3,A58,1,1,1,E08000035,9,2,3,2,32,2018-05-07 19:15:00
5571789,431522,435146,2,3,A58,1,1,1,E08000035,9,1,3,1,62,2018-05-07 19:15:00
5572161,430313,431178,2,6,U,1,4,1,E08000035,9,2,3,2,46,2018-05-07 21:35:00
5580349,435461,433396,1,6,U,1,1,1,E08000035,9,3,3,1,14,2018-05-08 08:10:00
5580644,439441,430735,2,6,U,1,1,1,E08000035,9,1,3,2,49,2018-05-08 11:00:00
5580644,439441,430735,2,6,U,1,1,1,E08000035,9,2,3,1,44,2018-05-08 11:00:00
5580644,439441,430735,2,6,U,1,1,1,E08000035,9,2,3,1,16,2018-05-08 11:00:00
5581159,429858,433791,2,6,U,1,1,1,E08000035,11,2,3,2,20,2018-05-08 17:35:00
5581410,428864,440052,2,6,U,1,1,1,E08000035,1,1,3,1,52,2018-05-08 16:40:00
5581932,428633,435476,2,6,U,1,1,1,E08000035,1,1,3,1,48,2018-05-05 18:33:00
5591416,435895,436408,2,6,U,1,1,1,E08000035,3,1,3,1,31,2018-05-09 17:30:00
5591481,431006,439233,2,6,U,1,1,1,E08000035,3,1,3,1,17,2018-05-09 16:30:00
55A0266,431310,431728,2,3,A639,1,1,1,E08000035,1,1,3,1,40,2018-05-09 17:15:00
55A0299,425106,436047,2,4,B6157,1,1,1,E08000035,2,1,2,1,57,2018-05-10 07:59:00
55A0321,428376,435451,3,6,U,1,1,1,E08000035,3,1,3,1,32,2018-05-10 08:14:00
55A0349,445195,446988,2,6,U,1,1,1,E08000035,19,1,3,1,60,2018-05-10 08:35:00
55A0349,445195,446988,2,6,U,1,1,1,E08000035,9,1,3,2,47,2018-05-10 08:35:00
55A0355,443050,441161,3,2,A1(M),1,1,1,E08000035,9,1,3,2,72,2018-05-10 08:38:00
55A0355,443050,441161,3,2,A1(M),1,1,1,E08000035,9,1,3,2,54,2018-05-10 08:38:00
55A0397,421934,432849,3,6,U,1,1,1,E08000035,9,1,3,2,49,2018-05-10 14:59:00
55A0597,430303,427710,2,6,U,1,1,1,E08000035,9,1,3,2,53,2018-05-10 11:22:00
55A0808,424527,437062,2,6,U,1,1,1,E08000035,1,1,2,1,41,2018-04-19 17:30:00
55A1468,429446,438115,1,6,U,1,1,1,E08000035,9,3,3,1,9,2018-05-10 17:30:00
55A1743,432752,433768,2,6,U,1,1,1,E08000035,1,1,3,1,36,2018-05-10 20:45:00
55A1757,430404,435808,2,3,A61,1,4,1,E08000035,9,1,3,1,32,2018-05-10 20:54:00
55B0076,429772,439286,2,6,U,2,4,1,E08000035,9,1,3,1,19,2018-05-11 01:17:00
55B0076,429772,439286,2,6,U,2,4,1,E08000035,9,2,3,1,18,2018-05-11 01:17:00
55B0192,430146,433399,1,6,U,1,4,1,E08000035,90,3,3,1,27,2018-05-11 04:00:00
55B0472,431363,434107,2,6,U,1,1,1,E08000035,1,1,3,2,24,2018-05-11 09:15:00
55B1122,438367,440737,1,6,U,1,1,1,E08000035,11,2,3,1,45,2018-05-10 06:54:00
55B1414,426715,435726,1,4,B6157,1,1,1,E08000035,9,3,2,2,65,2018-05-11 16:49:00
55B1491,435392,436699,2,6,U,1,1,1,E08000035,9,1,3,2,23,2018-05-11 17:16:00
55C0941,430028,433333,1,6,U,1,1,1,E08000035,11,2,3,2,12,2018-05-12 11:35:00
55C0941,430028,433333,1,6,U,1,1,1,E08000035,11,2,3,2,54,2018-05-12 11:35:00
55C2138,429417,433941,1,2,A58(M),2,4,2,E08000035,9,2,3,1,20,2018-05-12 23:40:00
55D0656,433145,425894,2,1,M62,1,1,1,E08000035,9,1,3,1,23,2018-05-13 11:20:00
55D0749,435933,425873,2,1,M62,1,1,1,E08000035,9,2,3,1,6,2018-05-13 12:00:00
55D1383,438205,448170,2,6,U,1,1,1,E08000035,8,1,3,1,50,2018-05-13 16:55:00
55D1383,438205,448170,2,6,U,1,1,1,E08000035,9,1,3,2,49,2018-05-13 16:55:00
55D1383,438205,448170,2,6,U,1,1,1,E08000035,9,2,2,2,84,2018-05-13 16:55:00
55D1491,425566,434521,1,6,U,1,1,1,E08000035,8,3,2,1,7,2018-05-13 19:00:00
55D1825,427250,433646,2,3,A647,1,1,1,E08000035,9,1,3,2,39,2018-05-13 20:18:00
55E1574,428008,435414,2,6,U,1,1,1,E08000035,1,1,3,1,21,2018-05-14 18:00:00
55E1727,430532,434824,2,6,U,1,1,1,E08000035,1,1,3,2,22,2018-05-14 16:45:00
55E2037,428876,430999,2,6,U,1,1,1,E08000035,5,1,3,1,38,2018-05-14 21:24:00
55F0863,425482,435864,2,4,B6157,1,1,1,E08000035,9,1,3,2,51,2018-05-15 10:50:00
55F1041,432945,435013,2,6,U,1,1,1,E08000035,11,2,3,2,79,2018-05-15 12:20:00
55F1832,431176,431451,1,6,U,1,1,1,E08000035,2,1,3,1,57,2018-05-15 20:30:00
55G0193,444030,433411,2,6,U,1,4,1,E08000035,4,2,2,1,31,2018-05-16 03:55:00
55G0367,431799,433132,2,6,U,1,1,1,E08000035,1,1,2,1,34,2018-05-16 08:20:00
55G1087,427989,426088,2,3,A653,1,1,1,E08000035,9,1,3,2,29,2018-05-29 15:01:00
55G1500,430169,431925,3,3,A653,1,1,1,E08000035,9,1,3,2,34,2018-05-16 17:40:00
55G1500,430169,431925,3,3,A653,1,1,1,E08000035,9,2,3,2,49,2018-05-16 17:40:00
55G1604,429453,431767,1,6,U,1,1,1,E08000035,19,3,2,2,4,2018-05-16 18:42:00
55G1604,429453,431767,1,6,U,1,1,1,E08000035,19,2,3,2,45,2018-05-16 18:42:00
55H0331,433860,433840,2,6,U,1,1,1,E08000035,9,1,3,1,54,2018-05-17 08:02:00
55H0390,426437,435635,2,4,B6157,1,1,1,E08000035,9,1,3,1,27,2018-05-17 08:40:00
55H0839,429060,440247,3,6,U,1,1,1,E08000035,9,1,3,1,80,2018-05-17 13:10:00
55I0214,425789,432609,2,3,A6110,1,1,1,E08000035,9,1,1,1,29,2018-05-18 06:15:00
55I0393,429319,436619,1,4,B6159,1,1,1,E08000035,9,3,3,1,9,2018-05-16 07:46:00
55I0440,443628,436530,3,2,A1(M),1,1,1,E08000035,4,1,2,2,54,2018-05-18 09:30:00
55I1230,428222,435781,2,3,A660,1,1,1,E08000035,1,1,3,2,18,2018-05-18 16:08:00
55I1276,420266,434234,2,3,A647,1,1,1,E08000035,9,1,3,2,37,2018-05-18 16:10:00
55I1495,426560,437636,2,6,U,1,1,1,E08000035,9,1,3,1,22,2018-05-18 17:51:00
55I1804,428902,431188,3,6,U,1,1,1,E08000035,9,3,3,2,6,2018-05-18 19:45:00
55I2266,430675,436792,2,3,A61,1,4,1,E08000035,9,2,3,1,20,2018-05-18 23:11:00
55J1124,442237,442921,2,2,A1(M),1,1,1,E08000035,9,2,2,1,7,2018-05-19 15:16:00
55J1124,442237,442921,2,2,A1(M),1,1,1,E08000035,9,2,2,1,8,2018-05-19 15:16:00
55J1124,442237,442921,2,2,A1(M),1,1,1,E08000035,9,1,3,2,47,2018-05-19 15:16:00
55J1124,442237,442921,2,2,A1(M),1,1,1,E08000035,9,2,3,1,54,2018-05-19 15:16:00
55J1306,424765,434441,1,6,U,1,1,1,E08000035,9,3,3,1,12,2018-05-19 16:35:00
55J1649,428980,431679,1,6,U,1,1,1,E08000035,9,3,2,1,62,2018-05-19 19:47:00
55J2155,427914,435313,2,6,U,1,4,1,E08000035,9,1,3,1,39,2018-05-19 23:30:00
55K0040,430265,433080,1,6,U,1,4,1,E08000035,8,2,3,1,44,2018-05-20 00:21:00
55K0525,439478,426194,2,6,U,1,1,1,E08000035,9,1,3,2,38,2018-05-20 08:20:00
55K0525,439478,426194,2,6,U,1,1,1,E08000035,9,1,3,1,36,2018-05-20 08:20:00
55K0609,422233,446012,3,3,A659,1,1,1,E08000035,1,1,2,2,56,2018-05-20 09:30:00
55K0609,422233,446012,3,3,A659,1,1,1,E08000035,1,1,2,1,66,2018-05-20 09:30:00
55K1139,427711,436104,1,6,U,1,4,1,E08000035,9,3,3,2,23,2018-05-20 01:45:00
55K1169,420806,445708,2,6,U,1,1,1,E08000035,9,1,3,2,50,2018-05-20 15:16:00
55K1202,428887,429810,2,3,A653,1,1,1,E08000035,1,1,3,1,44,2018-05-20 15:35:00
55K1795,432394,434672,2,6,U,1,1,1,E08000035,9,1,3,2,24,2018-05-20 20:15:00
55L0313,422457,427904,4,3,A650,1,1,1,E08000035,9,1,3,2,52,2018-05-21 07:40:00
55L1204,436265,435684,3,6,U,1,1,1,E08000035,9,1,3,1,74,2018-05-21 15:35:00
55L1229,432297,436292,2,6,U,1,1,1,E08000035,1,1,3,1,13,2018-05-21 15:53:00
55L1454,430933,440023,3,3,A61,1,1,1,E08000035,21,1,3,1,59,2018-05-21 17:21:00
55L1454,430933,440023,3,3,A61,1,1,1,E08000035,9,1,3,2,36,2018-05-21 17:21:00
55L1463,430471,427015,2,6,U,1,1,1,E08000035,3,1,3,1,22,2018-05-21 17:10:00
55L1702,423623,437575,4,3,A6120,1,1,1,E08000035,9,1,3,2,56,2018-05-21 19:05:00
55L1702,423623,437575,4,3,A6120,1,1,1,E08000035,9,1,3,1,28,2018-05-21 19:05:00
55L1702,423623,437575,4,3,A6120,1,1,1,E08000035,9,1,3,1,58,2018-05-21 19:05:00
55L1917,426677,433057,2,6,U,1,7,1,E08000035,1,1,3,1,23,2018-05-21 20:20:00
55M0373,430096,431414,1,3,A653,1,1,1,E08000035,9,3,2,1,11,2018-05-22 08:12:00
55M0489,436160,435074,2,3,A6120,1,1,1,E08000035,9,1,3,2,51,2018-05-22 09:20:00
55M0984,430705,433630,4,3,A61,1,1,1,E08000035,11,2,3,2,51,2018-05-22 13:35:00
55M1235,432135,432852,1,6,U,1,4,1,E08000035,11,2,2,2,54,2018-05-18 22:52:00
55M1302,420831,439703,1,4,B6152,1,1,1,E08000035,9,3,3,1,12,2018-05-22 15:57:00
55M1668,431239,434801,2,6,U,1,1,1,E08000035,1,1,3,1,46,2018-05-22 16:45:00
55M1734,429149,431740,2,6,U,1,1,1,E08000035,9,1,3,1,35,2018-05-22 19:10:00
55M1734,429149,431740,2,6,U,1,1,1,E08000035,9,1,3,1,35,2018-05-22 19:10:00
55M1834,433110,434022,1,3,A64,1,1,1,E08000035,11,2,3,2,40,2018-05-22 15:00:00
55N0340,430227,431975,2,1,M621,1,1,1,E08000035,9,1,3,1,36,2018-05-23 08:00:00
55N0424,425181,437793,2,6,U,1,1,1,E08000035,1,1,3,1,26,2018-05-23 18:25:00
55N1031,428938,433424,2,3,A58,1,1,1,E08000035,8,2,3,2,25,2018-05-23 14:53:00
55N1254,431804,434661,1,6,U,1,1,1,E08000035,9,3,3,2,25,2018-05-23 16:20:00
55N1310,431302,429225,2,6,U,1,1,1,E08000035,1,1,3,1,54,2018-05-23 14:30:00
55N1413,420091,440771,2,3,A65,1,1,1,E08000035,1,1,2,1,52,2018-05-23 17:31:00
55O0005,427515,436954,2,3,A660,1,4,1,E08000035,9,1,3,1,32,2018-05-24 00:01:00
55O0285,437732,429769,2,3,A642,1,1,1,E08000035,9,1,3,2,27,2018-05-24 07:09:00
55O0830,426869,434481,2,6,U,1,1,1,E08000035,4,1,3,1,45,2018-05-24 13:00:00
55O1002,423310,437670,2,3,A6120,1,1,1,E08000035,9,1,3,2,20,2018-05-24 14:15:00
55O1118,424092,435499,1,6,U,1,1,1,E08000035,9,3,3,2,14,2018-05-24 15:16:00
55O1222,419578,446223,2,6,U,1,1,1,E08000035,1,1,3,1,41,2018-05-24 16:00:00
55O1346,426828,433092,2,4,B6154,1,1,1,E08000035,9,2,3,1,33,2018-05-24 16:50:00
55O1346,426828,433092,2,4,B6154,1,1,1,E08000035,9,2,3,1,34,2018-05-24 16:50:00
55O1346,426828,433092,2,4,B6154,1,1,1,E08000035,9,2,3,1,66,2018-05-24 16:50:00
55P0367,425493,437544,1,6,U,2,1,1,E08000035,9,3,2,1,12,2018-05-25 07:43:00
55P0378,429598,432562,2,6,U,1,1,1,E08000035,1,1,3,1,22,2018-05-25 07:53:00
55P0584,424594,436056,1,4,B6157,2,1,2,E08000035,9,3,2,2,37,2018-05-25 10:17:00
55P0777,428749,436968,2,6,U,2,1,2,E08000035,9,1,3,2,48,2018-05-25 08:30:00
55Q0121,427695,433712,2,3,A647,2,4,1,E08000035,9,1,3,1,25,2018-05-26 01:15:00
55Q0121,427695,433712,2,3,A647,2,4,1,E08000035,8,1,3,1,29,2018-05-26 01:15:00
55Q0595,424134,444004,2,3,A658,1,1,1,E08000035,9,1,3,2,54,2018-05-26 09:18:00
55Q0595,424134,444004,2,3,A658,1,1,1,E08000035,9,1,3,2,43,2018-05-26 09:18:00
55Q0623,443394,438644,3,1,M1,1,1,1,E08000035,10,2,3,2,56,2018-05-26 09:46:00
55Q0623,443394,438644,3,1,M1,1,1,1,E08000035,10,2,3,2,52,2018-05-26 09:46:00
55Q0623,443394,438644,3,1,M1,1,1,1,E08000035,10,2,3,2,51,2018-05-26 09:46:00
55Q0623,443394,438644,3,1,M1,1,1,1,E08000035,10,2,3,2,20,2018-05-26 09:46:00
55Q0623,443394,438644,3,1,M1,1,1,1,E08000035,9,2,3,2,6,2018-05-26 09:46:00
55Q0623,443394,438644,3,1,M1,1,1,1,E08000035,9,1,3,2,25,2018-05-26 09:46:00
55Q0928,435798,425984,3,3,A642,1,1,1,E08000035,1,1,2,1,32,2018-05-26 09:30:00
55Q0928,435798,425984,3,3,A642,1,1,1,E08000035,1,1,3,1,52,2018-05-26 09:30:00
55Q1054,432144,429782,2,1,M621,1,1,1,E08000035,11,2,3,2,85,2018-05-26 14:00:00
55Q1656,420375,434510,2,6,U,1,1,1,E08000035,1,1,3,1,12,2018-05-26 18:30:00
55Q1954,431390,435084,1,6,U,1,1,1,E08000035,9,3,1,1,46,2018-05-26 20:41:00
55R0199,430835,424377,1,3,A650,1,4,1,E08000035,9,2,3,1,22,2018-05-27 01:45:00
55R1200,433666,426974,3,6,U,1,1,1,E08000035,9,2,3,2,18,2018-05-27 15:20:00
55R1207,433265,427394,1,6,U,1,1,1,E08000035,9,3,2,1,40,2018-05-27 15:20:00
55R1283,429771,436618,2,6,U,1,1,1,E08000035,9,1,3,2,37,2018-05-27 15:55:00
55S1168,424373,445355,2,3,A658,1,1,1,E08000035,4,1,3,1,50,2018-05-28 15:02:00
55S1240,430352,432103,2,6,U,1,1,1,E08000035,1,1,3,1,19,2018-05-28 15:47:00
55S1373,428970,435429,2,6,U,1,1,1,E08000035,1,1,2,1,74,2018-05-26 19:00:00
55S1782,426647,433086,1,4,B6154,1,1,1,E08000035,9,3,2,1,12,2018-05-28 19:36:00
55S2111,433101,436478,2,6,U,1,4,1,E08000035,9,1,3,1,57,2018-05-28 21:45:00
55T0376,429371,425870,2,3,A650,1,1,1,E08000035,11,1,3,1,51,2018-05-29 05:30:00
55T1172,442665,442288,2,2,A1(M),1,1,1,E08000035,9,1,3,1,49,2018-05-29 16:23:00
55T1200,434466,433697,1,6,U,1,1,1,E08000035,11,2,3,2,2,2018-05-29 12:48:00
55T1409,423110,437625,2,3,A65,1,1,1,E08000035,1,1,3,2,42,2018-05-29 18:23:00
55T1483,431493,435908,1,6,U,1,1,1,E08000035,9,3,3,1,9,2018-05-29 18:55:00
55U0327,438661,445954,2,3,A58,1,1,1,E08000035,9,1,3,1,27,2018-05-02 10:50:00
55U0656,432179,434626,2,6,U,1,1,1,E08000035,9,1,3,2,52,2018-05-30 11:53:00
55U1341,429552,434169,2,6,U,1,1,1,E08000035,9,1,3,1,40,2018-05-30 17:47:00
55U1806,428888,429809,2,3,A653,1,4,1,E08000035,9,1,3,1,23,2018-05-30 21:25:00
55U1806,428888,429809,2,3,A653,1,4,1,E08000035,11,2,3,2,19,2018-05-30 21:25:00
55U1806,428888,429809,2,3,A653,1,4,1,E08000035,11,2,3,2,31,2018-05-30 21:25:00
55U1806,428888,429809,2,3,A653,1,4,1,E08000035,11,2,3,2,38,2018-05-30 21:25:00
55U1806,428888,429809,2,3,A653,1,4,1,E08000035,11,2,3,2,59,2018-05-30 21:25:00
55U1806,428888,429809,2,3,A653,1,4,1,E08000035,11,2,3,2,49,2018-05-30 21:25:00
55U1806,428888,429809,2,3,A653,1,4,1,E08000035,11,2,3,1,23,2018-05-30 21:25:00
55V0596,422219,438385,2,3,A65,1,1,1,E08000035,9,1,3,1,45,2018-05-31 10:30:00
55V1147,432664,437999,2,6,U,1,1,1,E08000035,9,2,3,2,35,2018-05-31 15:29:00
55V1147,432664,437999,2,6,U,1,1,1,E08000035,9,2,3,2,11,2018-05-31 15:29:00
55V1147,432664,437999,2,6,U,1,1,1,E08000035,9,2,3,2,6,2018-05-31 15:29:00
5610438,432125,425757,1,1,M1,1,1,1,E08000035,9,1,3,2,22,2018-06-01 08:00:00
5611609,430973,440100,1,3,A61,1,1,1,E08000035,9,3,2,1,86,2018-06-01 18:00:00
5611609,430973,440100,1,3,A61,1,1,1,E08000035,9,3,3,2,82,2018-06-01 18:00:00
5611670,429892,434519,2,3,A660,1,1,1,E08000035,1,1,3,1,28,2018-06-01 14:45:00
5611702,436813,436500,3,6,U,1,1,1,E08000035,9,1,3,1,35,2018-06-01 18:49:00
5611702,436813,436500,3,6,U,1,1,1,E08000035,9,2,2,2,33,2018-06-01 18:49:00
5611702,436813,436500,3,6,U,1,1,1,E08000035,11,1,3,1,49,2018-06-01 18:49:00
5611702,436813,436500,3,6,U,1,1,1,E08000035,11,2,3,2,17,2018-06-01 18:49:00
5611733,432541,434897,2,6,U,1,1,1,E08000035,1,1,3,1,6,2018-06-01 19:03:00
5620883,434642,428162,2,3,A654,2,1,1,E08000035,1,1,3,1,17,2018-06-02 11:00:00
5630563,431639,437403,1,6,U,1,1,1,E08000035,9,1,3,1,36,2018-06-03 09:03:00
5630737,430101,431509,1,3,A653,1,1,1,E08000035,9,3,2,2,5,2018-06-03 11:17:00
5631357,430543,432742,1,6,U,1,1,1,E08000035,19,2,3,1,18,2018-06-03 17:30:00
5632197,423522,444449,1,3,A660,1,5,1,E08000035,5,1,2,1,19,2018-06-03 23:29:00
5640056,432487,434769,1,4,B6159,1,4,1,E08000035,9,3,2,2,24,2018-06-04 00:35:00
5640903,423926,427919,1,6,U,1,1,1,E08000035,9,1,2,1,26,2018-06-04 13:20:00
5640903,423926,427919,1,6,U,1,1,1,E08000035,9,2,3,1,28,2018-06-04 13:20:00
5641021,428431,428713,2,3,A653,1,1,1,E08000035,9,1,3,2,43,2018-06-04 14:24:00
5641122,423289,434657,2,6,U,1,1,1,E08000035,9,1,3,2,34,2018-06-04 14:55:00
5641122,423289,434657,2,6,U,1,1,1,E08000035,9,2,3,2,13,2018-06-04 14:55:00
5641132,431460,434010,1,6,U,1,1,1,E08000035,9,3,3,1,48,2018-06-04 14:50:00
5641450,426257,432271,1,6,U,1,1,1,E08000035,9,3,2,2,86,2018-05-25 08:20:00
5641515,429766,430608,2,3,A653,1,1,1,E08000035,9,1,3,1,36,2018-06-04 17:40:00
5650554,427120,439290,2,6,U,1,1,1,E08000035,9,1,3,2,71,2018-06-05 10:46:00
5650878,428449,429063,2,6,U,1,1,1,E08000035,9,1,3,1,66,2018-06-05 13:00:00
5650931,433546,425864,7,1,M62,1,1,1,E08000035,21,1,2,1,60,2018-06-05 14:10:00
5651232,428624,425115,1,6,U,1,1,1,E08000035,9,3,1,1,24,2018-06-05 16:20:00
5651310,428909,435507,2,6,U,1,1,1,E08000035,1,1,3,2,23,2018-06-05 17:00:00
5660575,420212,445526,1,6,U,1,1,1,E08000035,22,3,3,2,84,2018-06-06 10:20:00
5661188,429966,430365,2,6,U,1,1,1,E08000035,1,1,3,1,25,2018-06-06 16:06:00
